name,lat,lon
P-GH55449D_-145_338.2_N251_GW.22,2885.465,2675.829
VST-GH55413C_+034_342.1_N196_GW.20,3002.726,2535.203
VST-GH55413B_+034_336.1_N195_GW.20,3001.5,2534.655
VST-38_-008_369.8_N194_GW.20,2981.64,2572.02
P-GH55950D_-302_386.2_N043_GW.21,2392.773,2598.477
P-GH55950F_-302_344.2_N043_GW.21,2392.773,2598.477
VST-13_+002_349.7_N118_GW.22,1215.76,2419.27
P-EF62315J_-184_369.2_N129_GW.22,1609.483,2300.048
VST-11_+000_359.3_N108_GW.22,893.147,2724.205
P-EF63074A_+123_334.7_N275_GW.22,816.584,2626.687
P-EF63074B_+123_342.7_N275_GW.22,816.584,2626.687
P-EF63087A_-084_360.4_N069_GW.22,951.736,2788.972
P-EF63087B_-175_367.8_N109_GW.22,1016.234,2859.561
P-EF63175A_-205_358.7_N155_GW.22,1023.379,2905.597
P-EF63175B_-205_375.7_N111_GW.22,1023.379,2905.597
P-EF63215K_-459_386.1_N174_GW.21,1136.445,3129.897
P-EF63215L_-459_364.6_N174_GW.21,1136.445,3129.897
P-EF63215M_-459_349.6_N174_GW.21,1136.445,3129.897
P-EF63215N_-459_375.6_N174_GW.21,1136.445,3129.897
P-AB45901A_-248_386.4_N315_GW.21,5187.331,5456.45
VST-201_+022_356.4_N115_GW.22,877.379,2709.188
VST-293_+002_343.8_N103_GW.22,834.118,2818.59
P-EF63625B_-109_373.1_N100_GW.22,711.58,3244.5
P-EF63482A_-1180_356.3_N227_GW.22,1705.841,3666.18
P-EF63482B_-1180_371.3_N227_GW.22,1705.841,3666.18
P-EF63482C_-1180_383.3_N227_GW.22,1705.841,3666.18
P-EF63482D_-1180_395.8_N227_GW.22,1705.841,3666.18
P-EF63527A_-335_374.8_N55224_GW.22,955.492,3274.685
P-EF63527B_-335_381.8_N55224_GW.22,955.492,3274.685
P-EF63527C_-335_388.3_N55224_GW.22,955.492,3274.685
P-EF63527D_-335_394.8_N55224_GW.22,955.492,3274.685
P-EF62863B_+116_335.4_N276_GW.22,975.321,2487.181
P-GH56763A_-155_344.0_N272_GW.22,1712.716,2047.251
P-GH55924A_-074_344.5_N224_GW.20,2496.697,2393.677
P-GH56763C_-155_364.0_N272_GW.22,1712.716,2047.251
P-GH56763D_-155_377.0_N272_GW.22,1712.716,2047.251
P-GH56763E_-155_386.0_N272_GW.22,1712.716,2047.251
P-GH54700A_-397_373.2_N229_GW.22,3500.021,3223.24
18624_Rain_Fall (mm/hr)_N18624_GW.21,727.8727745,3441.781186
P-GH54700B_-397_381.7_N229_GW.22,3500.021,3223.24
VST-KANAL1_+058_338.4_N204_GW.22,1665.443,1829.134
VST-KANAL2_+059_338.1_N203_GW.22,1688.88,1824.48
P-EF62465D_-129_366.9_N127_GW.22,1437.226,2392.253
P-EF62481A_+130_329.6_N279_GW.22,1245.421,2216.566
P-EF62481B_+130_336.6_N279_GW.22,1245.421,2216.566
VST-215_+017_352.1_N202_GW.22,1264.058,2354.293
VST-EF62465A_+019_343.3_N141_GW.22,1332.3,2287.56
P-EF62763A_+110_313.5_N277_GW.22,1052.563,2423.537
P-EF62763B_+110_324.5_N277_GW.22,1052.563,2423.537
P-EF62763C_+110_334.0_N277_GW.22,1052.563,2423.537
P-EF62863A_+116_327.4_N276_GW.22,975.321,2487.181
P-EF62950A_-284_389.5_N053_GW.21,1195.084,2830.442
P-EF62950B_-434_395.7_N052_GW.21,1302.21,2935.057
P-EF62950D_-430_341.4_N176_GW.21,1301.401,2930.393
P-EF62950E_-430_353.9_N176_GW.21,1301.401,2930.393
P-EF62950F_-430_381.4_N176_GW.21,1301.401,2930.393
P-EF62950G_-430_369.4_N176_GW.21,1301.401,2930.393
P-EF62950H_-279_342.1_N177_GW.21,1191.55,2826.27
P-EF62950I_-279_365.6_N177_GW.21,1191.55,2826.27
P-EF62950J_-279_379.4_N177_GW.21,1191.55,2826.27
P-EF62950K_-279_354.1_N177_GW.21,1191.55,2826.27
P-EF62950L_-214_381.6_N180_GW.21,1138.989,2786.972
P-EF62950M_-214_368.6_N180_GW.21,1138.989,2786.972
P-EF62950N_-214_358.6_N180_GW.21,1138.989,2786.972
P-EF62950O_-214_344.6_N180_GW.21,1138.989,2786.972
P-EF62951B_-143_346.5_N273_GW.22,1088.471,2736.543
P-EF62951C_-143_357.0_N273_GW.22,1088.471,2736.543
P-EF62951D_-143_369.6_N273_GW.22,1088.471,2736.543
P-EF62951E_-143_380.5_N273_GW.22,1088.471,2736.543
VST-406_-017_358.6_N116_GW.22,1072.932,2577.974
P-EF63315H_-200_374.6_N173_GW.21,947.689,3022.794
P-EF63315I_-200_384.3_N173_GW.21,947.689,3022.794
P-EF63315J_-200_367.3_N173_GW.21,947.689,3022.794
P-EF63315O_-269_373.0_N175_GW.21,1005.073,3062.098
P-EF63315P_-269_363.5_N175_GW.21,1005.073,3062.098
P-EF63315Q_-269_352.0_N175_GW.21,1005.073,3062.098
P-EF63315R_-269_382.5_N175_GW.21,1005.073,3062.098
P-EF63314E_-166_369.2_N089_GW.22,918.231,3005.909
P-EF63314G_-268_392.2_N054_GW.21,1006.456,3057.3
P-EF63314H_-418_396.2_N055_GW.22,1135.381,3133.743
P-EF63314I_-642_394.7_N056_GW.21,1328.698,3247.127
P-EF63333A_-104_360.0_N281_GW.22,853.19,2994.708
P-EF63333B_-104_367.0_N281_GW.22,853.19,2994.708
P-EF63333C_-104_373.0_N281_GW.22,853.19,2994.708
P-EF63333D_-104_377.5_N281_GW.22,853.19,2994.708
P-EF63333E_-104_385.5_N281_GW.22,853.19,2994.708
P-EF63392B_-165_370.0_N090_GW.22,867.272,3090.476
P-GH54950A_-182_378.0_N209_GW.21,3336.24,2925.21
P-GH54950B_-141_378.2_N210_GW.21,3352.598,2887.563
VST-GH54900A_-062_378.2_N212_GW.21,3435.972,2836.044
VST-GH54950B_-071_368.9_N211_GW.21,3378.014,2822.472
P-GH55237B_-566_382.9_N252_GW.22,2878.566,3147.402
P-GH55237C_-566_395.9_N252_GW.22,2878.566,3147.402
P-GH55237D_-566_402.9_N252_GW.22,2878.566,3147.402
P-GH55237E_-566_362.4_N252_GW.22,2878.566,3147.402
P-GH55511A_+143_338.3_N261_GW.20,2962.864,2392.217
P-GH55602A_+152_331.8_N268_GW.20,2887.106,2341.598
P-GH55716A_+152_340.2_N270_GW.20,2786.202,2289.311
P-GH56005A_+164_338.9_N266_GW.20,2499.975,2144.246
P-GH56079A_+165_337.0_N265_GW.20,2429.185,2122.513
P-GH56110A_-149_380.0_N159_GW.22,2313.8,2416.09
P-GH56110C-NY_-011_361.1_N087_GW.20,2350.06,2282.96
P-GH56110D_-010_345.3_N110_GW.22,2351.168,2282.617
P-GH56110W_-156_385.0_N189_GW.21,2314.05,2423.862
P-GH56110X_-156_379.9_N190_GW.20,2313.384,2423.868
P-GH56110Z_-156_363.2_N201_GW.21,2311.845,2423.35
P-GH56191A_+176_337.1_N264_GW.20,2324.459,2081.363
P-GH56450G_-146_368.4_N084_GW.22,1958.265,2247.828
P-GH56450H_-018_364.2_N083_GW.20,2034.854,2145.221
P-GH56450I_-036_365.6_N082_GW.20,2026.442,2161.3405
VST-GH56110A_+011_341.4_N160_GW.20,2357.6035,2262.3285
VIB-AB46500-TOE_N131260_GW.21,5641.640974,5156.026848
P-GH56450O_-224_342.5_N171_GW.21,1896.143,2297.868
P-GH56450P_-224_356.5_N171_GW.21,1896.143,2297.868
P-GH56450Q_-224_367.5_N171_GW.21,1896.143,2297.868
P-GH56450R_-224_379.5_N171_GW.21,1896.143,2297.868
P-GH56450S_-224_377.0_N171_GW.21,1896.143,2297.868
P-GH56469A_-069_342.0_N226_GW.20,1991.324,2174.523
P-GH56469B_-069_347.0_N226_GW.20,1991.324,2174.523
P-GH56469D_-069_356.0_N226_GW.20,1991.324,2174.523
P-GH56469E_-069_364.5_N226_GW.20,1991.324,2174.523
P-GH56485B-NY_+033_335.3_N149_GW.20,2040.865,2082.594
Niv  Klarningen,431.1263095,1833.178326
P-GH56896B_-433_395.8_N046_GW.21,1804.026,2494.484
P-GH56896C_-610_395.7_N044_GW.21,1865.234,2755.296
P-GH56404A_-428_384.7_N133_GW.22,1804.816,2488.562
P-GH56404B_-428_371.2_N133_GW.22,1804.816,2488.562
P-GH56404C_-428_361.2_N133_GW.22,1804.816,2488.562
P-GH56404D_-428_347.2_N133_GW.22,1804.816,2488.562
VST-16_+009_358.1_N156_GW.20,2053.753,2126.336
VST-36_-008_366.1_N158_GW.20,2042.465,2139.13
